"Step","NN-ConLinearOpt-ILU - trainLoss","NN-ConLinearOpt-ILU - trainLoss__MIN","NN-ConLinearOpt-ILU - trainLoss__MAX"
"0","27.959428787231445","27.959428787231445","27.959428787231445"
"1","18.409282684326172","18.409282684326172","18.409282684326172"
"2","16.102802276611328","16.102802276611328","16.102802276611328"
"3","15.253961563110352","15.253961563110352","15.253961563110352"
"4","14.851099014282227","14.851099014282227","14.851099014282227"
"5","14.457870483398438","14.457870483398438","14.457870483398438"
"6","14.167810440063477","14.167810440063477","14.167810440063477"
"7","13.93592357635498","13.93592357635498","13.93592357635498"
"8","13.754518508911133","13.754518508911133","13.754518508911133"
"9","13.666268348693848","13.666268348693848","13.666268348693848"
"10","13.580079078674316","13.580079078674316","13.580079078674316"
"11","13.508447647094727","13.508447647094727","13.508447647094727"
"12","13.437314987182617","13.437314987182617","13.437314987182617"
"13","13.34704875946045","13.34704875946045","13.34704875946045"
"14","13.3253755569458","13.3253755569458","13.3253755569458"
"15","13.217166900634766","13.217166900634766","13.217166900634766"
"16","13.171308517456055","13.171308517456055","13.171308517456055"
"17","13.070917129516602","13.070917129516602","13.070917129516602"
"18","12.963855743408203","12.963855743408203","12.963855743408203"
"19","12.800060272216797","12.800060272216797","12.800060272216797"
"20","12.650157928466797","12.650157928466797","12.650157928466797"
"21","12.461345672607422","12.461345672607422","12.461345672607422"
"22","12.166993141174316","12.166993141174316","12.166993141174316"
"23","11.766003608703613","11.766003608703613","11.766003608703613"
"24","11.358322143554688","11.358322143554688","11.358322143554688"
"25","11.186761856079102","11.186761856079102","11.186761856079102"
"26","10.988287925720215","10.988287925720215","10.988287925720215"
"27","10.93893814086914","10.93893814086914","10.93893814086914"
"28","10.899641990661621","10.899641990661621","10.899641990661621"
"29","10.799315452575684","10.799315452575684","10.799315452575684"
"30","10.77379322052002","10.77379322052002","10.77379322052002"
"31","10.791003227233887","10.791003227233887","10.791003227233887"
"32","10.776042938232422","10.776042938232422","10.776042938232422"
"33","10.796221733093262","10.796221733093262","10.796221733093262"
"34","10.754074096679688","10.754074096679688","10.754074096679688"
"35","10.712546348571777","10.712546348571777","10.712546348571777"
"36","10.741124153137207","10.741124153137207","10.741124153137207"
"37","10.788350105285645","10.788350105285645","10.788350105285645"
"38","10.732471466064453","10.732471466064453","10.732471466064453"
"39","10.672005653381348","10.672005653381348","10.672005653381348"
"40","10.716906547546387","10.716906547546387","10.716906547546387"
"41","10.699626922607422","10.699626922607422","10.699626922607422"
"42","10.707764625549316","10.707764625549316","10.707764625549316"
"43","10.719331741333008","10.719331741333008","10.719331741333008"
"44","10.711190223693848","10.711190223693848","10.711190223693848"
