"Step","NN-ConLinearOpt-ILU - valLoss","NN-ConLinearOpt-ILU - valLoss__MIN","NN-ConLinearOpt-ILU - valLoss__MAX"
"0","13.589204788208008","13.589204788208008","13.589204788208008"
"1","13.585447311401367","13.585447311401367","13.585447311401367"
"2","13.443102836608887","13.443102836608887","13.443102836608887"
"3","13.444096565246582","13.444096565246582","13.444096565246582"
"4","13.423977851867676","13.423977851867676","13.423977851867676"
"5","13.359951972961426","13.359951972961426","13.359951972961426"
"6","13.394792556762695","13.394792556762695","13.394792556762695"
"7","13.4314603805542","13.4314603805542","13.4314603805542"
"8","13.592979431152344","13.592979431152344","13.592979431152344"
"9","13.720405578613281","13.720405578613281","13.720405578613281"
"10","13.784242630004883","13.784242630004883","13.784242630004883"
"11","13.662707328796387","13.662707328796387","13.662707328796387"
"12","13.788891792297363","13.788891792297363","13.788891792297363"
"13","13.759732246398926","13.759732246398926","13.759732246398926"
"14","13.959474563598633","13.959474563598633","13.959474563598633"
"15","13.664117813110352","13.664117813110352","13.664117813110352"
"16","14.034555435180664","14.034555435180664","14.034555435180664"
"17","13.819101333618164","13.819101333618164","13.819101333618164"
"18","14.30078125","14.30078125","14.30078125"
"19","15.234964370727539","15.234964370727539","15.234964370727539"
"20","15.952903747558594","15.952903747558594","15.952903747558594"
"21","15.930621147155762","15.930621147155762","15.930621147155762"
"22","16.984966278076172","16.984966278076172","16.984966278076172"
"23","17.657489776611328","17.657489776611328","17.657489776611328"
"24","16.738866806030273","16.738866806030273","16.738866806030273"
"25","15.544675827026367","15.544675827026367","15.544675827026367"
"26","14.49571704864502","14.49571704864502","14.49571704864502"
"27","13.028892517089844","13.028892517089844","13.028892517089844"
"28","12.262848854064941","12.262848854064941","12.262848854064941"
"29","11.665699005126953","11.665699005126953","11.665699005126953"
"30","11.538673400878906","11.538673400878906","11.538673400878906"
"31","11.397869110107422","11.397869110107422","11.397869110107422"
"32","11.213630676269531","11.213630676269531","11.213630676269531"
"33","11.53510570526123","11.53510570526123","11.53510570526123"
